root	I	II	III	V	VI	VII	VIII	IX	X
ħ-t-f	ħataf,	ħettef,		*tħettef	tħataf	nħataf,			
ħ-t-f	ħotof	hettef				nħotof			
ħ-t-m	ħatam	ħattam,		tħattam					
ħ-t-m		ħattem							
ħ-t-n	ħaten	ħatten		tħatten	tħaten	nħaten			
ħ-t-r¹	ħatar	ħattar				nħatar		ħtar	
ħ-t-r²		ħattar		tħattar					
ħ-t-r³	ħater				tħater				
ħ-t-t¹	ħatt	ħattet				nħatt			
ħ-t-t²		ħattet		tħattet					
ħ-x-b		ħaxxeb		tħaxxeb					
ħ-x-m¹		ħaxxem,		tħaxxem,					
ħ-x-m¹		ħaxkem,		tħaxxeb					
ħ-x-m¹		ħaxxeb							
ħ-x-m²	*ħaxem	ħaxxem							
ħ-x-n		ħaxxen		tħaxxen				ħxien	
ħ-x-x		ħaxxex		tħaxxex					
ħ-ż-m		ħażżem		tħażżem		nħażem			
ħ-ż-n¹	ħażen					nħażen			
ħ-ż-n²	ħażen	*ħażżen		tħażżen		nħażen			
ħ-ż-n³		ħażżen		tħażżen				ħżien	
ħ-ż-q	ħażaq	ħażżaq		tħażżaq		nħażaq			
ħ-ż-r	*ħażar			tħażżar	tħażar				
ħ-ż-ż	ħażż	ħażżeż		tħażżeż		nħażż,			
ħ-ż-ż						ntħażż			
ħ-b-j¹	ħeba,	*ħebba				nħeba			staħba
ħ-b-j¹	ħaba								
ħ-b-j²	ħaba								
ħ-f-j	ħefa,								
ħ-f-j	ħafa								
ħ-ħ-j			ħaħa						
ħ-j-b¹		ħajjeb							
ħ-j-b²		ħejjeb		tħejjeb					
ħ-j-b³	ħieb,								
ħ-j-b³	hieb								
ħ-j-ġ/ħ-w-ġ						nħtieġ	ħtieġ		
ħ-j-j¹	ħeja					nħeja			staħja
ħ-j-j²		ħejja,		tħejja					
ħ-j-j²		hejja							
ħ-j-l	ħiel,	ħajjel		tħajjel					stħajjel,
ħ-j-l	ħjiel								staħjel
ħ-j-m		ħajjem,		tħajjem,					
ħ-j-m		hejjem		thejjem					
ħ-j-n	ħan,	ħajjen		tħajjen		nħan		ħjien	
ħ-j-n	ħien								
ħ-j-r¹	ħar,								
ħ-j-r¹	ħier								
ħ-j-r²		ħajjar		tħajjar			ħtar		
ħ-j-t¹	ħiet,	ħajjat				nħiet			
ħ-j-t¹	ħat,					nħât			
ħ-j-t¹	ħet								
ħ-j-t²		ħajjet		tħajjet					
ħ-l-j¹	ħela					nħela			
ħ-l-j²		ħalla		tħalla		ntħalla			
ħ-l-w	ħela,	ħalla		tħalla		nħela		ħliel	
ħ-l-w	ħala								
ħ-m-j¹	ħema					nħema,			
ħ-m-j¹						nħima			
ħ-m-w			ħama		tħama				
ħ-r-j¹	ħara	ħarra				nħara			
ħ-r-j²		ħarra							
ħ-s-j	ħesa					nħesa,			
ħ-s-j						nħasa			
ħ-t-j¹	ħata								
ħ-t-j²					tħata				
ħ-w-d		ħawwad		tħawwad					
ħ-w-f	ħaf	ħawwef		tħawwef					
ħ-w-ħ¹		*ħawwaħ							
ħ-w-ħ²		ħawwaħ							
ħ-w-j	ħewa	ħawwaħ							
ħ-w-l¹		ħawwel		tħawwel		ntħawwel			
ħ-w-l²								ħwiel	
ħ-w-r		ħawwar		tħawwar					
ħ-x-j	ħexa	*ħaxxa				nħexa			
j-b-s		webbes		twebbes				ibbies	
j-q-r									stejqer
j-s-r		jassar		tjassar					
k-b-b	kebb	kebbeb		tkebbeb					
k-b-r	kiber	kabbar		tkabbar					
k-b-s	kibes	kebbes		tkebbes					
k-b-x		kebbex		tkebbex					
k-b-z		kabbaz		tkabbaz					
k-ċ-ċ		kaċċaċ							
k-d-d	kedd	kedded		tkedded		nkedd			
k-f-f	keff	keffef		tkeffef		nkeff			
k-f-n		keffen		tkeffen					
k-f-r	kafar	*kaffar		tkeffer					
k-f-s	kifes					nkifes			
k-għ-b	kagħab								
k-għ-k				tkagħak,					
k-għ-k				tkagħkagħ					
k-ħ-l		kaħħal		tkaħħal				kħal	
k-l-b	kileb					nkileb			
k-l-l	*kelel	kellel		tkellel					
k-l-m		kellem		tkellem					
k-m-d		kemmed		tkemmed					
k-m-m		*kemmem							
k-m-x		kemmex		tkemmex					
k-n-k		kannak							
k-n-n	kenn	kennen,		tkennen					stkenn
k-n-n		gennen							
k-n-s¹	kines	*kennes				nkines			
k-n-s²		*kennes							
k-n-z		kannaz							
k-r-b	karab,	karrab		tkarrab		nkarab			
k-r-b	korob								
k-r-h		kerrah,		tkerrah,				krieh	stkerrah,
k-r-h		kerreh		tkerreh					stkerreh
k-r-m	korom,	*karrem		*tkarrem		nkaram			
k-r-m	karam								
k-r-r	*kerr								stkerr
k-r-t		karrat							
k-s-b	kiseb	kisseb		tkisseb		nkiseb			
k-s-ħ	kesaħ	kessaħ		tkessaħ					
k-s-r	kiser 	kisser		tkisser		nkiser			
k-s-s	kess								
k-t-b	kiteb	*kitteb			tkieteb	nkiteb			
k-t-f		kittef		tkittef					
k-t-n		kitten		tkitten					
k-t-r	kotor,	kattar		tkattar					
k-t-r	katar								
k-x-f	kixef	kixxef		tkixxef		nkixef			
k-x-n		*kexxen							
k-x-x		kaxxax							
k-z-z		kazzaz		tkazzaz					
k-ċ-j		keċċa		tkeċċa					
k-j-b	kieb			tkejjeb					
k-j-d		kejjed							
k-j-f¹	kief	kejjef		tkejjef					
k-j-f²		*kejjef		tkejjef					
k-j-l¹		kejjel		tkejjel					
k-j-l²	kiel	wikkel		*twikkel		ttiekel			
k-j-n		kejjen		tkejjen					
k-j-t		kejjet		tkejjet					
k-k-j		kakka		tkakka					
k-l-j			kala		tkala				
k-p-j			kapa						
k-r-j¹	kera					nkera			
k-r-j²		korra							
k-s-j	kesa					nkesa			
k-v-j			kava						
k-w-d	kad								
k-w-j	kewa				tkiewa	nkewa			
k-w-n	kien	kewwen		*tkewwen					
k-w-s		kewwes		tkewwes					
k-ż-j¹					tkaża				
k-ż-j²			kuża						
l-b-r		labbar		tlabbar					
l-b-s	libes	libbes		tlibbes		ntlibes			
l-b-r	libet	libbet,		tlebbet		ntlibet			
l-b-r		lebbet							
l-ċ-ċ		laċċaċ							
